Action,Input Topic,Output Topics
broader,Beaches,"Sunscreen,Surfing,Volleyball,Sandcastles,Waves,Tanning,Snorkeling,Seashells,Jet skiing,Beachcombing"
broader,Dragons,"Fantasy,Targaryen,Fire-breathing,Mythology,Game of Thrones,Dungeons and Dragons,Legendary Creatures,Valyria,Flight,Eastern Dragonlore"
past,Rainbows,"Colors,Refraction,Weather,Science,Water droplets,Spectrum,Nature,Light,Beauty,Meteorology"
evil,Jellyfish,"Stinging cells,Ocean creatures,Gelatinous body,Bioluminescence,Tentacles,Underwater predators,Marine life,Poisonous,Transparent,Sea anemones"
future,Pasta,"Italian cuisine,Alfredo sauce,Spaghetti,Lasagna,Carbonara,Penne,Ravioli,Fettuccine,Marinara sauce,Tortellini"
places,Leonardo da Vinci,"Italy,Renaissance,Florence,Vinci,Louvre,Mona Lisa,Milan,Vatican City,Codex Atlanticus,Last Supper"
broader,Giraffe,"Wildlife,African Savanna,Endangered Species,Long Neck,Zoos,Herbivores,Thorny Acacia Trees,Reticulated Giraffe,Masai Giraffe,Northern Giraffe"
places,Machu Picchu,"Peru,Inca civilization,Andes Mountains,UNESCO World Heritage Site,Sacred Valley,Llama,Terraces,Pachacuti,Temple of the Sun,Huayna Picchu"
similar,Cheese,"Dairy,Cheddar,Gouda,Parmesan,Brie,Swiss,Mozzarella,Feta,Blue Cheese,Provolone"
similar,Coffee,"Tea,Caffeine,Barista,Espresso,Italian,Latte,Brew,Beans,French Press,Decaf"
evil,Mermaid,"Sirens,Ocean,Shipwrecks,Singing,Enchantment,Sea Creatures,Seashells,Legendary,Myths,Underwater Kingdoms"
deeper,Ninja,"Stealth,Katana,Shuriken,Shadow,Assassination,Japan,Shinobi,Ninjutsu,Samurai,Ronin"
future,Ancient Rome,"Technology,Space Exploration,Artificial Intelligence,Climate Change,Robotics,Virtual Reality,Renewable Energy,Sustainable Agriculture,Bioengineering,Ocean Exploration"
deeper,Unicorn,"Mythical creatures,Horn,Rainbow,Magical lands,Fantasy,Horse,Fairy tales,Enchantment,Wild animals,Fables"
similar,Cyberpunk,"Neon,Dystopia,Cybernetics,Japan,Sprawl,Futuristic,Urban,Technology,Sci-fi,Hacking"
good,Sushi,"Fresh fish,Japanese cuisine,Nigiri,Maki rolls,Sashimi,Soy sauce,Wasabi,Chopsticks,Omakase,Rice ball"
past,Dolphins,"Ocean,Marine Life,Intelligence,Aquatic Mammals,Conservation,Florida,Echolocation,Jumping,Pods,Tursiops"
opposite,Yoga,"Rigidity,Laziness,Sitting,Sedentary,Couch Potato,Watching TV,Lethargy,Relaxation,Napping,Loafing"
broader,Meditation,"Mindfulness,Deep Breathing,Transcendental Meditation,Zen Buddhism,Yoga,Relaxation,Chakra,Visualization,Mantra,Insight Timer"
deeper,Oceans,"Marine life,Ocean currents,Deep-sea trenches,Shipwrecks,Tsunamis,Hydrothermal vents,Coral reefs,Marine pollution,Ocean exploration,Oceanic crust"
good,Racing,"Fast cars,Formula 1,Indianapolis 500,NASCAR,Drag racing,Le Mans,Rally racing,World Rally Championship,Dirt track racing,Circuit de Monaco"
past,Cats,"Felines,Persians,Siamese,Kitten Care,Cat Breeds,Cat Show,Scratching Posts,Catnip Toys,Purring,Cat Adoption"
opposite,Penguins,"Flamingos,Ostriches,Emus,Seagulls,Parrots,Sparrows,Puffins,Cardinals,Robins,Blue Jays"
broader,Aliens,"Sci-fi,Extraterrestrial life,Roswell Incident,Area 51,UFO sightings,Science fiction movies,Grey aliens,Alien abductions,Life on other planets,Alien conspiracy theories"
deeper,Mountain,"Hiking,Climbing,Elevation,Summit,Mount Everest,Rockies,Himalayas,Volcano,Appalachian Trail,Andes"
opposite,Renaissance,"Dark Ages,Medieval,Baroque,Industrial Revolution,Enlightenment,Romanticism,Victorian Era,Modernism,Postmodernism,Contemporary Art."
good,Mars,"Alien life,Elon Musk,Red planet,NASA,Rover,Exploration,Space travel,Surface,Colonization,Moons"
places,Ballet,"Theater,Dance Studio,Opera House,Performing Arts Center,Ballroom,Gymnasium,School Auditorium,Church Hall,Community Center,Dance Club"
places,Hip hop,"New York City,Los Angeles,Atlanta,Miami,Chicago,Houston,Philadelphia,Detroit,Dallas,New Orleans"
future,Volcano,"Earthquakes,Lava,Ash,Disaster,Mount St. Helens,Pompeii,Geological,Eruption,Magma,Tectonic Plates"
deeper,Japan,"Culture,Tokyo,Samurai,Technology,Anime,Cherry Blossoms,Sushi,Hiroshima,Mount Fuji,Kawaii"
places,Superheroes,"Marvel Universe,DC Comics,Gotham City,Avengers Mansion,Metropolis,Wakanda,X-Mansion,Atlantis,Asgard,The Batcave"
places,Dancing,"Ballet,Salsa,Ballroom,Hip-hop,Street dance,Tango,Contemporary,Breakdancing,Irish dancing,Flamenco"
people,Lion,"Animal behavior,Savannah ecosystem,National Geographic documentaries,Wildlife conservation,Safari tours,Lion King movie,Lion dance festival,Lion tattoos,Lion symbolism in different cultures,Lion hunting habits"
future,Fairytales,"Science fiction,Time travel,Space exploration,Technology,Robots,Flying cars,Aliens,Virtual reality,Dystopia,Post-apocalyptic."
people,Galaxy,"Astronauts,Star Wars Fans,Space Enthusiasts,Aliens,Scientists,Astronomers,Star Trekkies,NASA Employees,Planetarium Visitors,Sci-Fi writers"
opposite,Sunflower,"Moonflower,Darkness,Night sky,Full moon,Stars,Nocturnal animals,Midnight,No sun,Eclipse,Shadows"
similar,Detective,"Investigator,Crime-solving,Mystery,Sherlock Holmes,Noir,Police,Clue,Murder,Sleuth,Interrogation"
places,Tornado,"Midwest,Tornado Alley,Cyclones
Wedge,Supercell,Storm Chasing
Debris,Damage,Sirens"
past,Opera,"Classical Music,Pavarotti,Italian,Stage Production,Aria,Elaborate Costumes,Overture,Composer,Soprano,Tenor"
good,Dinosaur,"Extinction,Fossils,Jurassic Park,T-Rex,Herbivores,Paleontologists,Roaring,Mesozoic Era,Triceratops,Cretaceous period"
past,Alice in Wonderland,"Lewis Carroll,White Rabbit,Mad Hatter,Cheshire Cat,Tea Party,Down the Rabbit Hole,Queen of Hearts,Tweedledee and Tweedledum,Caterpillar,Jabberwocky"
good,Dinosaurs,"Extinction,Tyrannosaurus Rex,Paleontology,Jurassic Park,Fossils,Velociraptor,Pterodactyls,Triceratops,Spinosaurus,Stegosaurus"
deeper,Nature,"Ecology,Wildlife Conservation,Botany,National Parks,Weather Patterns,Animal Behavior,Environmental Science,Climate Change,Ecosystems,Biodiversity"
good,Science,"Physics,Biology,Chemistry,Astronomy,Genetics,Neuroscience,Geology,Meteorology,Environmental Science,Medicine"
places,Vintage,"Antique shops,Retro fashion stores,Second-hand bookshops,Classic car showrooms,Old movie theaters,Historic architecture,Nostalgic diners,Vintage record stores,Time-worn furniture shops,Vintage flea markets"
opposite,Space Travel,"Grounded,Earth-bound,Stagnant,Motionless,Stationary,Non-moving,Idle,Inert,Fixed,Static"
broader,Tropical Rainforest,"Biome,Biodiversity,Amazon Rainforest,Deforestation,Wildlife,Canopy,South America,Climate Change,Species,Conservation"
past,Carnival,"Mardi Gras,Rio de Janeiro,Venice,Notting Hill,Masked balls,Carnival floats,Festive costumes,Street performers,Parades,Carnival traditions"
evil,Manga,"Violence,Supernatural powers,Dark villains,Shonen,Gore,Psychological thriller,Demons,Betrayal,Death note,Attack on Titan"
past,Ocean Exploration,"Marine Biologists,Titanic,Shipwrecks,Jacques Cousteau,Underwater Archeology,Submarines,Coral Reefs,Sunk Cost Fallacy,Deep Sea Creatures,Underwater Tunnels"
good,Albert Einstein,"Genius,Theory of Relativity,Physics,Nobel Prize,E=mc^2,Scientist,Germany,Princeton University,General Theory of Relativity,Light Quantum Theory"
similar,Steampunk,"Victorian era,Goggles,Industrial Revolution,Airships,Retrofuturism,Clockwork,Top hats,Corsets,Mechanics,Steam-powered machinery"
deeper,Great Barrier Reef,"Marine Biology,Coral Bleaching,Australia,Biodiversity,Oceanography,Conservation,Scuba Diving,Climate Change,Underwater Exploration,UNESCO World Heritage Site"
places,Avocado,"Restaurants,California,Guacamole,Farmers market,Toast,Salad,Smoothie,Mexico,Plantation,Brunch"
broader,Tiger,"Carnivores,Bengal Tigers,Endangered Species,Big Cats,Wildlife Reserves,National Animal of India,Hunting Threats,Tiger Conservation,Siberian Tigers,Sumatran Tigers"
opposite,Marie Curie,"Physics,Chemistry,Nobel Prize,Radiation,Science,Discoveries,Polonium,Radium,Women in STEM,Research"
people,Waterfall,"Names,Tourists,Hikers,Locals,Photographers,Adventurers,Artists,Environmentalists,Families,Scientists"
past,Tokyo,"History,Edo period,Imperial capital,Meiji Restoration,Pop culture,Anime,Ramen,Olympics,Shibuya,Tsukiji Fish Market"
past,Movies,"Sci-fi,Quentin Tarantino,Blockbusters,Romantic comedies,Christopher Nolan,Horror,Disney,Animated,Independent films,Comedies"
broader,Beach,"Ocean,Sand castle building,Surfing,Seashells,Sunbathing,Volleyball,Snorkeling,Picnicking,Beach cleanups,Beach umbrella fashion"
opposite,Camping,"Indoors,City,Hotel,Beach,Luxury,Glamping,Resort,Hostel,Airbnb,Urban"
deeper,Star Wars,"Galactic Empire,Wookiees,Jedi Order,Sith Lords,Rebel Alliance,The Force,Tatooine,Death Star,Lightsabers,Yoda"
evil,David Beckham,"Victoria Beckham,Soccer,Fashion,Spice Girls,Family,Miami,Tattoos,English,Retirement,Miami United"
future,Ice Cream,"Desserts,Summer Treats,Gelato,Sorbet,Dairy-Free Options,Waffle Cone,Sundae Toppings,Soft Serve,Frozen Yogurt,Sweet Treats"
broader,Tropical island,"Beach,Palms,Snorkeling,Coconuts,Coral reefs,Mai Tai,Surfing,Sunbathing,Tiki huts,Pina coladas"
broader,Snakes,"Reptiles,Venomous Snakes,Boa Constrictors,Rattlesnakes,Pythons,Cobra Snakes,Anacondas,Black Mambas,King Cobras,Garter Snakes"
past,Japanese culture,"Samurais,Kabuki theater,Geisha,Shinto religion,Hiroshima,Zen Buddhism,Sumo wrestling,Tea ceremonies,Cherry blossom festivals,Tokugawa shogunate"
past,Underground city,"Archaeology,Cappadocia,Derinkuyu,Turkey,Ancient history,Hidden chambers,Living quarters,Defense mechanisms,Tunnels,Dwellings,Civilization"
similar,Jungle,"Rainforest,Amazon,Tarzan,Tropical Birds,Monkeys,Greenery,Wildlife,Plant Life,Tropical Climate,Canopy"
evil,Solar system,"Galactic Empire,Intergalactic Villains,Alien Invasion,Dark Matter,Planetary Destruction,Lunar Eclipse,Black Holes,Evil Asteroids,Martian Colonization,Cosmic Deception"
broader,Shakespeare,"Plays,Sonnets,Globe Theatre,Elizabethan Era,Tragedies,Comedies,Histories,Macbeth,Romeo and Juliet,Hamlet"
broader,Medieval castle,"History,Knights,Moats,Siege warfare,Feudalism,Great Hall,Trebuchets,Drawbridge,Keep,Jousting"
future,Underwater city,"Technology,Atlantis,Science fiction,Exploration,Dystopia,Oceanic engineering,Submerged metropolis,Aquatic civilization,Futuristic architecture,Marine research."
future,Space station,"Mars colony,Alien invasion,Time travel,Lunar base,Interstellar travel,Black holes,Parallel universe,Dystopian world,Advanced technology,First contact"
good,Ancient ruins,"Historical sites,Archeology,Lost civilizations,Pyramids,Pompeii,Machu Picchu,Stonehenge,Temples,Colosseum,Acropolis"
future,Olympics,"Technology,Summer Games,Athletes,International Competition,Tokyo 2020,Winter Games,Gold Medals,Opening Ceremony,Records,Global Event"
good,Caribbean,"Beaches,Reggae music,Souvenirs,Rum,Carnival,Tropical fruits,Jerk chicken,Steel drum music,White sandy beaches,Clear blue waters"
past,Shark,"Jaws,Great White,Megalodon,Hammerhead,Oceanic Whitetip,Tiger,Bull,Goblin,Thresher,and Mako"
opposite,Bill Gates,"Entrepreneurship,Innovation,Technology,Philanthropy,Microsoft,Wealth,Charity,Business,Success,Investment"
opposite,Pyramid,"Spherical,Tunnel,Flat,Sphere,Tree,Lake,Cube,Rectangle,Triangle,Cylinder"
opposite,Beethoven,"Silence,Mime,Illiteracy,Technology,Monologue,Visual arts,Pop music,Modern dance,Electronic music,Color theory"
similar,Barbecue,"Grilling,Smoked Meat,Backyard Parties,BBQ Pitmasters,Charcoal,Meat Rubs,Smoked Brisket,BBQ Sauce,BBQ Ribs,Grilled Vegetables"
past,Einstein,"Physics,Relativity,Nobel Prize,Theory of General Relativity,Germany,United States,Scientist,Time Travel,Atomic Bomb,Theoretical Physics"
people,Future,"Gen Z,Millennials,Baby Boomers,Elon Musk,Greta Thunberg,Jeff Bezos,Mark Zuckerberg,Stephen Hawking,Vladimir Putin,Angela Merkel"
